Ecosystem Service,Asset,Importance,Justification
Energía de origen animal ,Especies,R,"Las especies, en la forma de animales de trabajo, brindan directamente el servicio de energía de origen animal. Cualquier reducción en la cantidad y calidad de las especies puede tener una influencia negativa en la prestación del servicio."
Biorremediación,Hábitats,A,"La biorremediación por plantas es sensible a los cambios en los hábitats dado que esto podría afectar la distribución y abundancia de especies. Sin embargo, estos cambios pueden revertirse si se restaura el hábitat."
Biorremediación,Especies,R,La biorremediación por plantas es altamente sensible a los cambios en la composición de especies y su distribución y abundancia.
Amortiguamiento y atenuación de los flujos de masa,Hábitats,R,"Los hábitats son clave para el amortiguamiento y atenuación de los flujos de masa, y la pérdida de hábitat puede causar la reducción o cese del servicio."
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo ,R,"El amortiguamiento y la atenuación de los flujos de masa son altamente sensibles a los cambios en la geomorfología del suelo, lo cual puede originar el cese del servicio. Los cambios en la geomorfología del suelo son casi siempre irreversibles, y esto afecta la amortiguación y la atenuación de los flujos de masa a largo plazo."
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos ,A,"Los suelos y sedimentos son esenciales para el amortiguamiento y atenuación de los servicios de flujos de masa, y los cambios en las propiedades del suelo pueden causar una interrupción directa del servicio y la pérdida de otros activos que dan como resultado una reducción indirecta o cese del servicio."
Regulación climática ,Atmósfera,R,La regulación climática a gran escala depende completamente de la atmósfera. La escala y complejidad de la atmósfera significa que los cambios que los seres humanos causan podrían no revertirse a lo largo de la vida humana.
Regulación climática,Hábitats,R,"Los hábitats juegan un papel importante en la regulación climática global a través del secuestro y almacenamiento del carbono. También desempeñan un papel importante en la regulación del clima local, por ejemplo, a través de su capacidad para la retención de agua y provisión de sombra. Algunos cambios en los hábitats pueden ser reversibles, pero usualmente después de un largo período de tiempo, pero otros como la deforestación en las regiones tropicales podrían originar un clima más seco que podría impedir la reforestación de áreas."
Regulación climática,Suelos y sedimentos ,A,"La regulación climática global por ecosistemas terrestres es sensible a los cambios en los suelos y sedimentos que ocurren como consecuencia de la deforestación, el cambio en el uso del suelo y el drenaje de humedales."
Regulación climática,Especies,A,"La regulación global, regional y de micro climas por ecosistemas terrestres es sensible a los cambios en especies dado que desempeñan un papel importante en el secuestro y almacenamiento de carbono."
Regulación climática,Agua ,R,La regulación de micro climas y climas regionales es sensible a los cambios en el agua dado que esto juega un papel en la regulación climática local a través de la circulación oceánica y los cambios en el agua de superficie. Los cambios importantes en la circulación oceánica serían irreversibles.
Dilución por la atmósfera y los ecosistemas ,Atmósfera,R,"La dilución por la atmósfera es altamente sensible a los cambios en la atmósfera dado que la cubierta nubosa, la velocidad del viento, el perfil de temperatura vertical y los niveles de turbulencia son los principales componentes del sistema que influyen en el servicio. La escala y complejidad de la atmósfera significa que los cambios que los humanos causan a menudo podrían no revertirse a lo largo de la vida humana."
Dilución por la atmósfera y los ecosistemas,Geomorfología oceánica ,A,Los cambios en la geomorfología oceánica pueden tener un impacto en cuán rápido y eficientemente los contaminantes pueden diluirse en los medios marinos.
Dilución por la atmósfera y los ecosistemas,Agua,A,"La dilución por ecosistemas de agua dulce es altamente sensible a los cambios en los flujos de agua dado que esto afecta el factor de dilución. Sin embargo, estos cambios pueden revertirse si se restaura el flujo de agua."
Control de enfermedades ,Hábitats,A,Los hábitats son un activo complementario para el control de enfermedades y los cambios en los hábitats pueden conllevar a una serie de brotes de enfermedades.
Control de enfermedades ,Especies,R,"Las especies actúan como vectores y como depredadores de enfermedades. Por lo tanto, cualquier cambio en la composición de especies puede influir en la capacidad de control de enfermedades."
